ID  MINE    VEL   DIFF   DUR    GROUP_ID
263  Fixation   7.1   5.3  183.0  15
264  Fixation   0.4   -6.7  183.0  15
265  Fixation   5.1   4.7  183.0  15
266  Fixation   0.7   -4.4  183.0  15
267  Fixation   3.2   2.5  183.0  15
268  Fixation   10.6   7.4  183.0  15
269  Fixation   8.6   -2.0  183.0  15
270  Fixation   2.0   -6.5  183.0  15
271  Fixation   24.6   22.5  183.0  15
272  Saccade   134.6   110.0  33.0  15
273  Saccade   92.2   -42.4  33.0  15
274  Fixation   11.1   -81.1  1284.0  16
275  Fixation   13.0   1.9  1284.0  16
276  Fixation   8.7   -4.2  1284.0  16
277  Fixation   1.5   -7.3  1284.0  16
278  Fixation   1.5   -0.0  1284.0  16
279  Fixation   8.9   7.4  1284.0  16
280  Fixation   6.0   -2.8  1284.0  16
281  Fixation   16.8   10.8  1284.0  16
282  Fixation   15.4   -1.4  1284.0  16
283  Fixation   3.9   -11.5  1284.0  16
284  Fixation   2.3   -1.6  1284.0  16
285  Fixation   5.3   3.0  1284.0  16
286  Fixation   0.7   -4.6  1284.0  16
287  Fixation   0.3   -0.4  1284.0  16
288  Fixation   1.2   0.9  1284.0  16
289  Fixation   11.3   10.1  1284.0  16
290  Fixation   0.0   -11.3  1284.0  16
291  Fixation   21.5   21.5  1284.0  16
292  Fixation   0.0   -21.5  1284.0  16
293  Fixation   10.5   10.5  1284.0  16
294  Fixation   3.7   -6.8  1284.0  16
295  Fixation   0.7   -3.0  1284.0  16
296  Fixation   6.6   6.0  1284.0  16
297  Fixation   0.9   -5.8  1284.0  16
298  Fixation   4.6   3.7  1284.0  16
299  Fixation   4.0   -0.5  1284.0  16
300  Fixation   4.8   0.8  1284.0  16
301  Fixation   23.8   19.0  1284.0  16
302  Fixation   0.0   -23.8  1284.0  16
303  Fixation   8.7   8.7  1284.0  16
304  Fixation   1.4   -7.4  1284.0  16
305  Fixation   0.7   -0.7  1284.0  16
306  Fixation   0.6   -0.1  1284.0  16
307  Fixation   0.7   0.1  1284.0  16
308  Fixation   6.9   6.2  1284.0  16
309  Fixation   6.9   0.0  1284.0  16
310  Fixation   1.5   -5.4  1284.0  16
311  Fixation   3.3   1.9  1284.0  16
312  Fixation   5.3   1.9  1284.0  16
313  Fixation   1.0   -4.3  1284.0  16
314  Fixation   1.0   -0.0  1284.0  16
315  Fixation   2.9   1.9  1284.0  16
316  Fixation   4.0   1.1  1284.0  16
317  Fixation   0.0   -4.0  1284.0  16
318  Fixation   0.0   0.0  1284.0  16
319  Fixation   6.0   6.0  1284.0  16
320  Fixation   0.0   -6.0  1284.0  16
321  Fixation   4.8   4.8  1284.0  16
322  Fixation   2.9   -1.8  1284.0  16
323  Fixation   0.6   -2.4  1284.0  16
324  Fixation   3.4   2.8  1284.0  16
325  Fixation   7.8   4.4  1284.0  16
326  Fixation   23.0   15.2  1284.0  16
327  Fixation   0.0   -23.0  1284.0  16
328  Fixation   7.5   7.5  1284.0  16
329  Fixation   1.9   -5.6  1284.0  16
330  Fixation   1.8   -0.1  1284.0  16
331  Fixation   2.7   0.9  1284.0  16
332  Fixation   5.6   2.9  1284.0  16
333  Fixation   8.9   3.3  1284.0  16
334  Fixation   1.5   -7.4  1284.0  16
335  Fixation   1.5   0.0  1284.0  16
336  Fixation   9.3   7.8  1284.0  16
337  Fixation   9.1   -0.2  1284.0  16
338  Fixation   0.0   -9.1  1284.0  16
339  Fixation   22.3   22.3  1284.0  16
340  Fixation   0.0   -22.3  1284.0  16
341  Fixation   0.2   0.2  1284.0  16
342  Fixation   6.4   6.2  1284.0  16
343  Fixation   6.4   0.0  1284.0  16
344  Fixation   2.2   -4.2  1284.0  16
345  Fixation   2.7   0.4  1284.0  16
346  Fixation   9.7   7.0  1284.0  16
347  Fixation   3.2   -6.4  1284.0  16
348  Fixation   2.1   -1.1  1284.0  16
349  Fixation   6.6   4.5  1284.0  16
350  Fixation   4.3   -2.3  1284.0  16
351  Saccade   52.6   48.3  50.0  16
352  Saccade   157.4   104.7  50.0  16
353  Saccade   59.3   -98.1  50.0  16
354  Fixation   12.4   -46.9  1424.0  17
355  Fixation   0.0   -12.4  1424.0  17
356  Fixation   1.8   1.8  1424.0  17
357  Fixation   16.1   14.3  1424.0  17
358  Fixation   17.6   1.5  1424.0  17
359  Fixation   8.4   -9.2  1424.0  17
360  Fixation   8.5   0.1  1424.0  17
361  Fixation   6.1   -2.4  1424.0  17
362  Fixation   3.0   -3.1  1424.0  17
363  Fixation   2.3   -0.7  1424.0  17
364  Fixation   2.8   0.5  1424.0  17
365  Fixation   2.9   0.1  1424.0  17
366  Fixation   2.9   -0.0  1424.0  17
367  Fixation   1.7   -1.2  1424.0  17
368  Fixation   8.6   7.0  1424.0  17
369  Fixation   1.6   -7.1  1424.0  17
370  Fixation   2.9   1.3  1424.0  17
371  Fixation   4.0   1.1  1424.0  17
372  Fixation   0.0   -4.0  1424.0  17
373  Fixation   6.0   6.0  1424.0  17
374  Fixation   3.8   -2.2  1424.0  17
375  Fixation   0.4   -3.4  1424.0  17
376  Fixation   7.2   6.7  1424.0  17
377  Fixation   18.5   11.3  1424.0  17
378  Fixation   0.7   -17.8  1424.0  17
379  Fixation   5.9   5.2  1424.0  17
380  Fixation   7.8   1.9  1424.0  17
381  Fixation   6.7   -1.1  1424.0  17
382  Fixation   0.4   -6.3  1424.0  17
383  Fixation   2.8   2.4  1424.0  17
384  Fixation   3.7   1.0  1424.0  17
385  Fixation   6.7   3.0  1424.0  17
386  Fixation   10.2   3.4  1424.0  17
387  Fixation   0.7   -9.5  1424.0  17
388  Fixation   1.0   0.3  1424.0  17
389  Fixation   2.8   1.8  1424.0  17
390  Fixation   1.6   -1.3  1424.0  17
391  Fixation   1.5   -0.1  1424.0  17
392  Fixation   12.0   10.5  1424.0  17
393  Fixation   3.1   -8.8  1424.0  17
394  Fixation   0.0   -3.1  1424.0  17
395  Fixation   0.7   0.7  1424.0  17
396  Fixation   0.6   -0.0  1424.0  17
397  Fixation   1.2   0.5  1424.0  17
398  Fixation   1.4   0.3  1424.0  17
399  Fixation   4.2   2.8  1424.0  17
400  Fixation   17.2   12.9  1424.0  17
401  Fixation   3.0   -14.1  1424.0  17
402  Fixation   0.1   -3.0  1424.0  17
403  Fixation   7.3   7.2  1424.0  17
404  Fixation   10.9   3.6  1424.0  17
405  Fixation   3.1   -7.7  1424.0  17
406  Fixation   4.2   1.0  1424.0  17
407  Fixation   0.3   -3.8  1424.0  17
408  Fixation   4.1   3.8  1424.0  17
409  Fixation   7.1   3.0  1424.0  17
410  Fixation   1.8   -5.3  1424.0  17
411  Fixation   0.9   -0.9  1424.0  17
412  Fixation   14.0   13.2  1424.0  17
413  Fixation   15.0   0.9  1424.0  17
414  Fixation   8.9   -6.1  1424.0  17
415  Fixation   9.0   0.1  1424.0  17
416  Fixation   8.9   -0.1  1424.0  17
417  Fixation   8.3   -0.6  1424.0  17
418  Fixation   12.9   4.6  1424.0  17
419  Fixation   1.8   -11.2  1424.0  17
420  Fixation   4.0   2.3  1424.0  17
421  Fixation   0.0   -4.0  1424.0  17
422  Fixation   6.1   6.1  1424.0  17
423  Fixation   5.3   -0.7  1424.0  17
424  Fixation   0.6   -4.8  1424.0  17
425  Fixation   3.8   3.2  1424.0  17
426  Fixation   6.9   3.0  1424.0  17
427  Fixation   3.6   -3.2  1424.0  17
428  Fixation   2.7   -1.0  1424.0  17
429  Fixation   2.7   0.0  1424.0  17
430  Fixation   2.6   -0.1  1424.0  17
431  Fixation   9.2   6.6  1424.0  17
432  Fixation   8.0   -1.1  1424.0  17
433  Fixation   0.0   -8.0  1424.0  17
434  Fixation   9.5   9.5  1424.0  17
435  Fixation   2.7   -6.8  1424.0  17
436  Fixation   6.4   3.7  1424.0  17
437  Fixation   7.5   1.2  1424.0  17
438  Fixation   0.4   -7.2  1424.0  17
439  Blink   3.7   3.3  384.0  1
440  Blink   3.7   -0.0  384.0  1
441  Blink   155.6   151.9  384.0  1
442  Blink   nan   nan  384.0  1
443  Blink   nan   nan  384.0  1
444  Blink   nan   nan  384.0  1
445  Blink   nan   nan  384.0  1
446  Blink   nan   nan  384.0  1
447  Blink   nan   nan  384.0  1
448  Blink   nan   nan  384.0  1
449  Blink   nan   nan  384.0  1
450  Blink   nan   nan  384.0  1
451  Blink   147.6   nan  384.0  1
452  Blink   14.7   -132.9  384.0  1
453  Blink   2.2   -12.5  384.0  1
454  Blink   13.4   11.2  384.0  1
455  Blink   9.2   -4.2  384.0  1
456  Blink   7.4   -1.8  384.0  1
457  Blink   0.5   -7.0  384.0  1
458  Blink   3.0   2.6  384.0  1
459  Blink   4.0   1.0  384.0  1
460  Blink   6.8   2.8  384.0  1
461  Blink   12.4   5.6  384.0  1
462  Fixation   2.7   -9.7  526.0  18
463  Fixation   4.1   1.4  526.0  18
464  Fixation   1.2   -2.8  526.0  18
465  Fixation   2.8   1.6  526.0  18
466  Fixation   9.1   6.3  526.0  18
467  Fixation   8.0   -1.1  526.0  18
468  Fixation   0.0   -8.0  526.0  18
469  Fixation   6.3   6.3  526.0  18
470  Fixation   4.6   -1.7  526.0  18
471  Fixation   5.4   0.8  526.0  18
472  Fixation   1.5   -3.9  526.0  18
473  Fixation   3.2   1.7  526.0  18
474  Fixation   3.9   0.7  526.0  18
475  Fixation   11.4   7.5  526.0  18
476  Fixation   0.0   -11.4  526.0  18
477  Fixation   3.7   3.7  526.0  18
478  Fixation   5.7   2.0  526.0  18
479  Fixation   2.2   -3.5  526.0  18
480  Fixation   13.1   10.9  526.0  18
481  Fixation   15.4   2.4  526.0  18
482  Fixation   8.3   -7.1  526.0  18
483  Fixation   10.5   2.3  526.0  18
484  Fixation   8.3   -2.3  526.0  18
485  Fixation   10.3   2.0  526.0  18
486  Fixation   13.6   3.3  526.0  18
487  Fixation   11.1   -2.5  526.0  18
488  Fixation   3.6   -7.4  526.0  18
489  Fixation   0.0   -3.6  526.0  18
490  Fixation   2.2   2.2  526.0  18
491  Fixation   3.2   1.0  526.0  18
492  Fixation   4.7   1.5  526.0  18
493  Fixation   14.8   10.2  526.0  18
494  Saccade   84.4   69.5  16.0  17
495  Fixation   23.8   -60.6  158.0  19
496  Fixation   4.5   -19.3  158.0  19
497  Fixation   1.5   -3.0  158.0  19
498  Fixation   0.0   -1.5  158.0  19
499  Fixation   3.6   3.6  158.0  19
500  Fixation   4.8   1.2  158.0  19
501  Fixation   5.9   1.1  158.0  19
502  Fixation   0.0   -5.9  158.0  19
503  Fixation   17.0   17.0  158.0  19
504  Blink   2.7   -14.3  334.0  2
505  Blink   2.2   -0.6  334.0  2
506  Blink   1.9   -0.3  334.0  2
507  Blink   nan   nan  334.0  2
508  Blink   nan   nan  334.0  2
509  Blink   nan   nan  334.0  2
510  Blink   nan   nan  334.0  2
511  Blink   nan   nan  334.0  2
512  Blink   nan   nan  334.0  2
513  Blink   nan   nan  334.0  2
514  Blink   530.1   nan  334.0  2
515  Blink   25.6   -504.5  334.0  2
516  Blink   3.7   -21.8  334.0  2
517  Blink   1.6   -2.1  334.0  2
518  Blink   12.0   10.4  334.0  2
519  Blink   12.8   0.8  334.0  2
520  Blink   0.0   -12.8  334.0  2
521  Blink   9.8   9.8  334.0  2
522  Blink   0.6   -9.3  334.0  2
523  Blink   0.7   0.1  334.0  2
524  Fixation   1.7   1.1  74.0  20
525  Fixation   2.7   1.0  74.0  20
526  Fixation   13.5   10.8  74.0  20
527  Fixation   5.8   -7.7  74.0  20
528  Fixation   20.8   15.0  74.0  20
529  Saccade   75.6   54.7  34.0  18
530  Saccade   32.0   -43.5  34.0  18
531  Fixation   5.5   -26.6  2234.0  21
532  Fixation   3.4   -2.0  2234.0  21
533  Fixation   0.1   -3.3  2234.0  21
534  Fixation   5.0   4.9  2234.0  21
535  Fixation   4.3   -0.7  2234.0  21
536  Fixation   4.4   0.2  2234.0  21
537  Fixation   5.8   1.3  2234.0  21
538  Fixation   14.6   8.9  2234.0  21
539  Fixation   0.9   -13.7  2234.0  21
540  Fixation   0.1   -0.8  2234.0  21
541  Fixation   12.6   12.6  2234.0  21
542  Fixation   13.9   1.3  2234.0  21
543  Fixation   6.3   -7.6  2234.0  21
544  Fixation   7.9   1.5  2234.0  21
545  Fixation   10.9   3.0  2234.0  21
546  Fixation   0.6   -10.3  2234.0  21
547  Fixation   1.9   1.3  2234.0  21
548  Fixation   0.1   -1.9  2234.0  21
549  Fixation   2.5   2.4  2234.0  21
550  Fixation   0.2   -2.2  2234.0  21
551  Fixation   2.9   2.6  2234.0  21
552  Fixation   3.2   0.3  2234.0  21
