ID  MINE      GT       VEL   DIFF   DUR    GROUP_ID
264  Fixation  Fixation  21.2   10.0  2234.0  6
265  Fixation  Fixation  6.0   -15.2  2234.0  6
266  Fixation  Fixation  5.6   -0.4  2234.0  6
267  Fixation  Fixation  8.3   2.8  2234.0  6
268  Fixation  Fixation  2.1   -6.3  2234.0  6
269  Fixation  Fixation  9.9   7.8  2234.0  6
270  Fixation  Fixation  3.0   -6.9  2234.0  6
271  Fixation  Fixation  2.8   -0.2  2234.0  6
272  Fixation  Fixation  6.7   3.8  2234.0  6
273  Fixation  Fixation  15.1   8.5  2234.0  6
274  Fixation  Fixation  6.5   -8.6  2234.0  6
275  Fixation  Fixation  18.2   11.7  2234.0  6
276  Fixation  Fixation  5.8   -12.5  2234.0  6
277  Fixation  Fixation  12.8   7.0  2234.0  6
278  Fixation  Fixation  4.8   -7.9  2234.0  6
279  Fixation  Fixation  0.4   -4.4  2234.0  6
280  Fixation  Fixation  3.3   2.8  2234.0  6
281  Fixation  Fixation  6.9   3.7  2234.0  6
282  Fixation  Fixation  10.9   4.0  2234.0  6
283  Fixation  Fixation  11.2   0.3  2234.0  6
284  Fixation  Fixation  1.1   -10.2  2234.0  6
285  Fixation  Fixation  17.1   16.0  2234.0  6
286  Fixation  Fixation  10.6   -6.4  2234.0  6
287  Fixation  Fixation  2.6   -8.1  2234.0  6
288  Fixation  Fixation  2.9   0.3  2234.0  6
289  Fixation  Fixation  11.7   8.7  2234.0  6
290  Fixation  Fixation  9.1   -2.6  2234.0  6
291  Fixation  Fixation  12.4   3.3  2234.0  6
292  Fixation  Fixation  3.0   -9.4  2234.0  6
293  Fixation  Fixation  10.4   7.3  2234.0  6
294  Fixation  Fixation  11.2   0.8  2234.0  6
295  Fixation  Fixation  6.9   -4.3  2234.0  6
296  Fixation  Fixation  5.6   -1.3  2234.0  6
297  Fixation  Fixation  14.3   8.7  2234.0  6
298  Fixation  Fixation  7.4   -6.9  2234.0  6
299  Fixation  Fixation  13.6   6.3  2234.0  6
300  Fixation  Fixation  12.8   -0.8  2234.0  6
301  Fixation  Fixation  3.7   -9.0  2234.0  6
302  Fixation  Fixation  5.8   2.1  2234.0  6
303  Fixation  Fixation  7.5   1.7  2234.0  6
304  Fixation  Fixation  6.4   -1.1  2234.0  6
305  Fixation  Fixation  7.1   0.7  2234.0  6
306  Fixation  Fixation  9.4   2.3  2234.0  6
307  Fixation  Fixation  5.0   -4.4  2234.0  6
308  Fixation  Fixation  4.7   -0.3  2234.0  6
309  Fixation  Fixation  9.2   4.5  2234.0  6
310  Fixation  Fixation  13.6   4.4  2234.0  6
311  Fixation  Fixation  6.1   -7.4  2234.0  6
312  Fixation  Fixation  12.0   5.9  2234.0  6
313  Fixation  Fixation  5.4   -6.6  2234.0  6
314  Fixation  Fixation  12.3   6.9  2234.0  6
315  Saccade  Saccade  61.1   48.8  33.0  7
316  Saccade  Saccade  30.9   -30.2  33.0  7
317  Fixation  Fixation  13.0   -17.9  150.0  7
318  Fixation  Fixation  9.2   -3.8  150.0  7
319  Fixation  Fixation  12.2   3.0  150.0  7
320  Fixation  Fixation  11.3   -0.9  150.0  7
321  Fixation  Fixation  11.9   0.7  150.0  7
322  Fixation  Fixation  9.4   -2.6  150.0  7
323  Fixation  Fixation  5.9   -3.5  150.0  7
324  Fixation  Fixation  2.2   -3.7  150.0  7
325  Fixation  Fixation  10.5   8.3  150.0  7
326  Saccade  Saccade  47.8   37.3  100.0  8
327  Saccade  Fixation  163.5   115.7  100.0  8            <----------------------------
328  Saccade  Saccade  60.9   -102.6  100.0  8
329  Saccade  Saccade  137.1   76.2  100.0  8
330  Saccade  Saccade  154.1   17.1  100.0  8
331  Saccade  Saccade  63.6   -90.5  100.0  8
332  Fixation  Fixation  9.4   -54.3  17.0  8
333  Saccade  Saccade  37.0   27.6  33.0  9
334  Saccade  Saccade  32.7   -4.2  33.0  9
335  Fixation  Fixation  10.3   -22.5  17.0  9
336  Saccade  Fixation  165.3   155.0  33.0  10            <----------------------------
337  Saccade  Saccade  51.0   -114.3  33.0  10
338  Fixation  Fixation  27.0   -23.9  17.0  10
339  Saccade  Saccade  49.1   22.1  16.0  11
340  Fixation  Fixation  7.0   -42.1  450.0  11
341  Fixation  Fixation  15.5   8.5  450.0  11
342  Fixation  Fixation  7.5   -8.1  450.0  11
343  Fixation  Fixation  18.8   11.3  450.0  11
344  Fixation  Fixation  7.6   -11.1  450.0  11
345  Fixation  Fixation  5.2   -2.4  450.0  11
346  Fixation  Fixation  8.6   3.4  450.0  11
347  Fixation  Fixation  2.5   -6.2  450.0  11
348  Fixation  Fixation  20.2   17.8  450.0  11
349  Fixation  Fixation  18.5   -1.8  450.0  11
350  Fixation  Fixation  10.1   -8.4  450.0  11
351  Fixation  Fixation  9.9   -0.2  450.0  11
352  Fixation  Fixation  12.4   2.5  450.0  11
353  Fixation  Fixation  13.2   0.7  450.0  11
354  Fixation  Fixation  9.7   -3.5  450.0  11
355  Fixation  Fixation  7.9   -1.8  450.0  11
356  Fixation  Fixation  10.6   2.6  450.0  11
