ID  MINE      GT       VEL   DIFF   DUR    GROUP_ID
364  Fixation  Fixation  0.6   -11.4  333.0  8
365  Fixation  Fixation  0.3   -0.3  333.0  8
366  Fixation  Fixation  8.7   8.4  333.0  8
367  Saccade  Saccade  34.1   25.4  50.0  5
368  Saccade  Saccade  185.3   151.3  50.0  5
369  Saccade  Saccade  58.7   -126.6  50.0  5
370  Fixation  Fixation  12.6   -46.2  367.0  9
371  Fixation  Fixation  8.2   -4.4  367.0  9
372  Fixation  Fixation  6.2   -2.0  367.0  9
373  Fixation  Fixation  1.0   -5.2  367.0  9
374  Fixation  Fixation  2.7   1.6  367.0  9
375  Fixation  Fixation  5.1   2.4  367.0  9
376  Fixation  Fixation  1.7   -3.4  367.0  9
377  Fixation  Fixation  1.6   -0.1  367.0  9
378  Fixation  Fixation  8.6   7.0  367.0  9
379  Fixation  Fixation  1.5   -7.1  367.0  9
380  Fixation  Fixation  1.0   -0.4  367.0  9
381  Fixation  Fixation  10.4   9.4  367.0  9
382  Fixation  Fixation  0.6   -9.8  367.0  9
383  Fixation  Fixation  3.9   3.3  367.0  9
384  Fixation  Fixation  4.3   0.4  367.0  9
385  Fixation  Fixation  4.2   -0.1  367.0  9
386  Fixation  Fixation  4.3   0.1  367.0  9
387  Fixation  Fixation  5.0   0.7  367.0  9
388  Fixation  Fixation  0.0   -5.0  367.0  9
389  Fixation  Fixation  5.9   5.9  367.0  9
390  Fixation  Fixation  5.5   -0.4  367.0  9
391  Fixation  Fixation  2.7   -2.8  367.0  9
392  Saccade  Saccade  34.7   32.0  17.0  6
393  Fixation  Fixation  0.0   -34.7  433.0  10
394  Fixation  Fixation  6.2   6.2  433.0  10
395  Fixation  Fixation  3.4   -2.8  433.0  10
396  Fixation  Fixation  6.2   2.7  433.0  10
397  Fixation  Fixation  2.9   -3.2  433.0  10
398  Fixation  Fixation  0.4   -2.5  433.0  10
399  Fixation  Fixation  1.6   1.1  433.0  10
400  Fixation  Fixation  8.4   6.9  433.0  10
401  Fixation  Fixation  3.1   -5.3  433.0  10
402  Fixation  Fixation  2.6   -0.5  433.0  10
403  Fixation  Fixation  4.9   2.3  433.0  10
404  Fixation  Fixation  0.2   -4.6  433.0  10
405  Fixation  Fixation  5.6   5.3  433.0  10
406  Fixation  Fixation  0.1   -5.5  433.0  10
407  Fixation  Fixation  0.3   0.2  433.0  10
408  Fixation  Fixation  10.4   10.1  433.0  10
409  Fixation  Fixation  10.2   -0.2  433.0  10
410  Fixation  Fixation  0.4   -9.9  433.0  10
411  Fixation  Fixation  4.7   4.4  433.0  10
412  Fixation  Fixation  7.4   2.7  433.0  10
413  Fixation  Fixation  18.3   10.8  433.0  10
414  Fixation  Fixation  0.1   -18.2  433.0  10
415  Fixation  Fixation  2.6   2.5  433.0  10
416  Fixation  Fixation  7.2   4.7  433.0  10
417  Fixation  Fixation  3.6   -3.7  433.0  10
418  Fixation  Fixation  6.8   3.3  433.0  10
419  Saccade  Saccade  151.7   144.8  67.0  7
420  Saccade  Saccade  181.7   30.0  67.0  7
421  Saccade  Saccade  162.0   -19.7  67.0  7
422  Saccade  Saccade  33.6   -128.5  67.0  7
423  Fixation  Fixation  3.6   -30.0  233.0  11
424  Fixation  Fixation  4.5   0.9  233.0  11
425  Fixation  Fixation  8.2   3.8  233.0  11
426  Fixation  Fixation  5.5   -2.7  233.0  11
427  Fixation  Fixation  1.1   -4.5  233.0  11
428  Fixation  Fixation  4.0   2.9  233.0  11
429  Fixation  Fixation  4.2   0.2  233.0  11
430  Fixation  Fixation  5.3   1.1  233.0  11
431  Fixation  Fixation  2.5   -2.8  233.0  11
432  Fixation  Fixation  0.1   -2.4  233.0  11
433  Fixation  Fixation  0.5   0.3  233.0  11
434  Fixation  Fixation  5.3   4.9  233.0  11
435  Fixation  Fixation  0.3   -5.1  233.0  11
436  Fixation  Fixation  6.1   5.9  233.0  11
437  Saccade  Saccade  34.8   28.7  33.0  8
438  Saccade  Saccade  120.7   85.9  33.0  8
439  Fixation  Fixation  27.8   -92.9  184.0  12
440  Fixation  Fixation  0.5   -27.3  184.0  12
441  Fixation  Fixation  0.6   0.1  184.0  12
442  Fixation  Fixation  0.3   -0.3  184.0  12
443  Fixation  Fixation  4.6   4.3  184.0  12
444  Fixation  Fixation  1.9   -2.7  184.0  12
445  Fixation  Fixation  0.6   -1.2  184.0  12
446  Fixation  Fixation  1.8   1.2  184.0  12
447  Fixation  Fixation  3.7   1.9  184.0  12
448  Fixation  Fixation  6.0   2.2  184.0  12
449  Fixation  Fixation  20.9   14.9  184.0  12
450  Saccade  Saccade  273.9   252.9  50.0  9
451  Saccade  Saccade  181.8   -92.1  50.0  9
452  Saccade  Saccade  115.3   -66.6  50.0  9
453  Fixation  Fixation  26.5   -88.8  283.0  13
454  Fixation  Fixation  0.2   -26.3  283.0  13
455  Fixation  Fixation  3.5   3.3  283.0  13
456  Fixation  Fixation  4.4   1.0  283.0  13
457  Fixation  Fixation  1.6   -2.8  283.0  13
458  Fixation  Fixation  10.0   8.4  283.0  13
459  Fixation  Fixation  1.7   -8.3  283.0  13
460  Fixation  Fixation  0.8   -0.9  283.0  13
461  Fixation  Fixation  4.5   3.7  283.0  13
462  Fixation  Fixation  5.1   0.6  283.0  13
463  Fixation  Fixation  3.3   -1.8  283.0  13
464  Fixation  Fixation  3.7   0.4  283.0  13
465  Fixation  Fixation  4.4   0.7  283.0  13
466  Fixation  Fixation  0.3   -4.1  283.0  13
467  Fixation  Fixation  8.2   8.0  283.0  13
468  Fixation  Fixation  1.0   -7.2  283.0  13
469  Fixation  Fixation  4.3   3.3  283.0  13
470  Saccade  Saccade  39.8   35.4  67.0  10
471  Saccade  Saccade  208.8   169.0  67.0  10
472  Saccade  Saccade  145.0   -63.7  67.0  10
473  Saccade  Saccade  31.9   -113.1  67.0  10
474  Fixation  Fixation  0.2   -31.7  183.0  14
475  Fixation  Fixation  4.2   4.0  183.0  14
476  Fixation  Fixation  3.8   -0.4  183.0  14
477  Fixation  Fixation  2.8   -1.0  183.0  14
478  Fixation  Fixation  7.5   4.8  183.0  14
479  Fixation  Fixation  1.1   -6.4  183.0  14
480  Fixation  Fixation  8.2   7.1  183.0  14
481  Fixation  Fixation  13.4   5.2  183.0  14
482  Fixation  Fixation  0.6   -12.8  183.0  14
483  Fixation  Fixation  3.3   2.7  183.0  14
484  Fixation  Fixation  3.1   -0.2  183.0  14
485  Saccade  Saccade  110.3   107.3  50.0  11
486  Saccade  Saccade  155.0   44.6  50.0  11
487  Saccade  Saccade  81.6   -73.4  50.0  11
488  Fixation  Fixation  0.0   -81.5  267.0  15
489  Fixation  Fixation  1.9   1.9  267.0  15
490  Fixation  Fixation  9.4   7.5  267.0  15
491  Fixation  Fixation  7.6   -1.9  267.0  15
492  Fixation  Fixation  2.8   -4.8  267.0  15
493  Fixation  Fixation  1.3   -1.5  267.0  15
494  Fixation  Fixation  13.0   11.7  267.0  15
495  Fixation  Fixation  7.7   -5.3  267.0  15
496  Fixation  Fixation  9.4   1.7  267.0  15
497  Fixation  Fixation  5.7   -3.7  267.0  15
498  Fixation  Fixation  0.9   -4.8  267.0  15
499  Fixation  Fixation  9.2   8.3  267.0  15
500  Fixation  Fixation  11.1   1.9  267.0  15
501  Fixation  Fixation  0.7   -10.4  267.0  15
502  Fixation  Fixation  0.4   -0.3  267.0  15
503  Fixation  Fixation  1.7   1.3  267.0  15
504  Saccade  Saccade  63.1   61.3  16.0  12
505  Fixation  Fixation  0.6   -62.5  434.0  16
506  Fixation  Fixation  4.6   4.1  434.0  16
507  Fixation  Fixation  9.8   5.2  434.0  16
508  Fixation  Fixation  0.6   -9.3  434.0  16
509  Fixation  Fixation  2.4   1.8  434.0  16
510  Fixation  Fixation  2.8   0.4  434.0  16
511  Fixation  Fixation  3.3   0.6  434.0  16
512  Fixation  Fixation  1.9   -1.4  434.0  16
513  Fixation  Fixation  1.9   -0.1  434.0  16
514  Fixation  Fixation  0.3   -1.5  434.0  16
515  Fixation  Fixation  7.9   7.6  434.0  16
516  Fixation  Fixation  5.3   -2.6  434.0  16
517  Fixation  Fixation  0.1   -5.1  434.0  16
518  Fixation  Fixation  0.1   -0.0  434.0  16
519  Fixation  Fixation  10.0   9.9  434.0  16
520  Fixation  Fixation  7.0   -3.0  434.0  16
521  Fixation  Fixation  11.8   4.8  434.0  16
