ID  MINE      GT       VEL   DIFF   DUR    GROUP_ID
254  Fixation  Fixation  3.3   -3.7  1267.0  5
255  Fixation  Fixation  3.4   0.1  1267.0  5
256  Fixation  Fixation  15.2   11.7  1267.0  5
257  Fixation  Fixation  0.9   -14.3  1267.0  5
258  Fixation  Fixation  0.0   -0.8  1267.0  5
259  Fixation  Fixation  8.0   7.9  1267.0  5
260  Fixation  Fixation  6.9   -1.1  1267.0  5
261  Fixation  Fixation  6.6   -0.3  1267.0  5
262  Fixation  Fixation  8.1   1.6  1267.0  5
263  Fixation  Fixation  7.9   -0.2  1267.0  5
264  Fixation  Fixation  6.2   -1.7  1267.0  5
265  Fixation  Fixation  0.0   -6.2  1267.0  5
266  Fixation  Fixation  15.8   15.8  1267.0  5
267  Fixation  Fixation  9.2   -6.5  1267.0  5
268  Fixation  Fixation  12.2   3.0  1267.0  5
269  Fixation  Fixation  4.5   -7.7  1267.0  5
270  Fixation  Fixation  6.6   2.1  1267.0  5
271  Fixation  Fixation  4.1   -2.5  1267.0  5
272  Fixation  Fixation  1.0   -3.2  1267.0  5
273  Fixation  Fixation  3.7   2.8  1267.0  5
274  Fixation  Fixation  6.4   2.7  1267.0  5
275  Fixation  Fixation  9.8   3.4  1267.0  5
276  Fixation  Fixation  5.6   -4.2  1267.0  5
277  Fixation  Fixation  0.0   -5.6  1267.0  5
278  Fixation  Fixation  0.0   0.0  1267.0  5
279  Fixation  Fixation  5.0   5.0  1267.0  5
280  Fixation  Fixation  2.0   -3.1  1267.0  5
281  Fixation  Fixation  12.5   10.5  1267.0  5
282  Saccade  Saccade  110.4   97.9  16.0  5
283  Fixation  Fixation  10.0   -100.4  534.0  6
284  Fixation  Fixation  2.2   -7.8  534.0  6
285  Fixation  Fixation  12.2   10.1  534.0  6
286  Fixation  Fixation  0.0   -12.2  534.0  6
287  Fixation  Fixation  3.9   3.9  534.0  6
288  Fixation  Fixation  2.5   -1.4  534.0  6
289  Fixation  Fixation  6.4   3.9  534.0  6
290  Fixation  Fixation  0.0   -6.4  534.0  6
291  Fixation  Fixation  6.1   6.1  534.0  6
292  Fixation  Fixation  3.4   -2.7  534.0  6
293  Fixation  Fixation  2.1   -1.3  534.0  6
294  Fixation  Fixation  10.3   8.1  534.0  6
295  Fixation  Fixation  0.0   -10.3  534.0  6
296  Fixation  Fixation  6.9   6.9  534.0  6
297  Fixation  Fixation  7.4   0.5  534.0  6
298  Fixation  Fixation  0.0   -7.4  534.0  6
299  Fixation  Fixation  8.5   8.5  534.0  6
300  Fixation  Fixation  3.3   -5.2  534.0  6
301  Fixation  Fixation  1.8   -1.4  534.0  6
302  Fixation  Fixation  1.1   -0.7  534.0  6
303  Fixation  Fixation  4.8   3.7  534.0  6
304  Fixation  Fixation  6.9   2.1  534.0  6
