ID  MINE      GT       VEL   DUR    GROUP_ID
381  Fixation  Fixation  1.1  316.0  9
382  Fixation  Fixation  10.1  316.0  9
383  Saccade  Saccade  58.6  67.0  10
384  Saccade  Saccade  202.3  67.0  10
385  Saccade  Saccade  144.9  67.0  10
386  Saccade  Saccade  41.1  67.0  10
387  Fixation  Fixation  5.3  150.0  10
388  Fixation  Fixation  8.7  150.0  10
389  Fixation  Fixation  10.0  150.0  10
390  Fixation  Fixation  5.7  150.0  10
391  Fixation  Fixation  1.9  150.0  10
392  Fixation  Fixation  7.6  150.0  10
393  Fixation  Fixation  0.0  150.0  10
394  Fixation  Fixation  7.8  150.0  10
395  Fixation  Fixation  6.2  150.0  10
396  Saccade  Saccade  50.3  17.0  11
397  Fixation  Fixation  2.3  967.0  11
398  Fixation  Fixation  6.2  967.0  11
399  Fixation  Fixation  0.0  967.0  11
400  Fixation  Fixation  3.2  967.0  11
401  Fixation  Fixation  2.6  967.0  11
402  Fixation  Fixation  1.2  967.0  11
403  Fixation  Fixation  3.3  967.0  11
404  Fixation  Fixation  2.4  967.0  11
405  Fixation  Fixation  3.9  967.0  11
406  Fixation  Fixation  6.3  967.0  11
407  Fixation  Fixation  3.8  967.0  11
408  Fixation  Fixation  0.9  967.0  11
409  Fixation  Fixation  1.1  967.0  11
410  Fixation  Fixation  8.6  967.0  11
411  Fixation  Fixation  5.4  967.0  11
412  Fixation  Fixation  2.3  967.0  11
413  Fixation  Fixation  0.8  967.0  11
414  Fixation  Fixation  8.0  967.0  11
415  Fixation  Fixation  3.1  967.0  11
416  Fixation  Fixation  4.3  967.0  11
417  Fixation  Fixation  3.1  967.0  11
418  Fixation  Fixation  2.2  967.0  11
419  Fixation  Fixation  3.9  967.0  11
420  Fixation  Fixation  9.8  967.0  11
421  Fixation  Fixation  1.6  967.0  11
422  Fixation  Fixation  1.3  967.0  11
423  Fixation  Fixation  26.1  967.0  11
424  Fixation  Fixation  11.0  967.0  11
425  Fixation  Fixation  1.7  967.0  11
426  Fixation  Fixation  6.9  967.0  11
427  Fixation  Fixation  0.0  967.0  11
428  Fixation  Fixation  2.9  967.0  11
429  Fixation  Fixation  1.0  967.0  11
430  Fixation  Fixation  7.8  967.0  11
431  Fixation  Fixation  0.3  967.0  11
