left_gaze_origin_validity,right_gaze_origin_validity,Recording timestamp,Gaze point left X,Gaze point left Y,Gaze point left Z,Eye position left X,Eye position left Y,Eye position left Z,Gaze point right X,Gaze point right Y,Gaze point right Z,Eye position right X,Eye position right Y,Eye position right Z,Eye movement type
1,1,1163806076,4.16958,156.56087,46.34173,-33.60383,72.42005,685.85193,3.87988,154.0206,45.41716,27.19513,78.07458,682.15466,Fixation
1,1,1163806093,4.18866,156.83606,46.4419,-33.59619,72.40437,685.82715,3.06569,154.3956,45.55365,27.20263,78.03438,682.19269,Fixation
1,1,1163806109,5.35398,156.55933,46.34117,-33.58694,72.39147,685.84106,2.55964,158.08145,46.89514,27.21395,78.00893,682.24329,Fixation
1,1,1163806126,6.54808,154.42604,45.56469,-33.50935,72.3489,685.6261,5.61586,155.87477,46.092,27.2678,78.0368,682.63831,Fixation
1,1,1163806143,5.18951,152.66641,44.92425,-33.48475,72.34566,685.75732,7.68178,156.9272,46.47507,27.2779,78.03032,682.63794,Fixation
1,1,1163806159,5.28981,155.43695,45.93266,-33.47662,72.3449,685.82324,6.96645,154.73416,45.67689,27.28272,78.01259,682.5343,Fixation
1,1,1163806176,4.3692,155.66646,46.01617,-33.45678,72.3633,685.86517,11.23667,155.5365,45.96887,27.29079,77.99118,682.37878,Fixation
1,1,1163806193,3.49184,153.77682,45.32841,-33.44165,72.39359,685.99683,8.64267,156.93517,46.47794,27.30959,77.95866,682.10693,Fixation
1,1,1163806209,5.8957,154.47469,45.58241,-33.42686,72.42915,686.15735,7.19223,156.97237,46.49148,27.35075,77.93723,681.92297,Fixation
1,1,1163806226,8.8933,154.39462,45.55329,-33.40261,72.42555,686.0827,5.36003,158.0056,46.86753,27.41697,77.97523,682.20062,Fixation
1,1,1163806243,9.41085,157.39578,46.64563,-33.34942,72.39548,685.85321,6.44183,157.92046,46.83657,27.47484,78.01714,682.53033,Fixation
1,1,1163806259,6.74963,156.60355,46.35725,-33.28857,72.38032,685.7804,7.84294,155.90961,46.10471,27.50216,78.03876,682.70959,Fixation
1,1,1163806276,3.97345,156.49989,46.31955,-33.24954,72.38741,685.901,10.13266,153.24747,45.13574,27.50825,78.01976,682.5791,Fixation
1,1,1163806293,4.17334,154.29271,45.51617,-33.23218,72.37708,685.96729,9.24341,153.94734,45.39045,27.52071,77.97511,682.41071,Fixation
1,1,1163806309,3.83647,155.56807,45.98035,-33.22926,72.34822,686.12354,8.4303,154.0293,45.42031,27.5438,77.92375,682.37054,Fixation
1,1,1163806326,4.5262,159.63741,47.4615,-33.21728,72.29061,686.19128,9.02419,154.0177,45.41608,27.55421,77.86128,682.38269,Fixation
1,1,1163806343,4.64,161.97887,48.31373,-33.20523,72.25418,686.25891,9.73615,156.58727,46.35133,27.55687,77.82651,682.36938,Fixation
1,1,1163806359,4.12473,159.27144,47.32827,-33.20229,72.24147,686.29919,11.6145,156.86794,46.45348,27.55639,77.79173,682.29163,Fixation
1,1,1163806376,3.59171,159.86465,47.54416,-33.20101,72.23838,686.28723,10.11828,157.59763,46.71903,27.55465,77.77052,682.21472,Fixation
1,1,1163806393,3.78525,160.22159,47.67411,-33.20487,72.24348,686.32593,10.05835,157.09207,46.53502,27.54658,77.78886,682.33124,Fixation
1,1,1163806409,3.81107,159.97874,47.58572,-33.21674,72.25573,686.33716,9.53676,157.20624,46.57664,27.53969,77.81526,682.4873,Fixation
1,1,1163806426,3.07397,157.93013,46.8401,-33.23409,72.257,686.24353,7.70364,157.56393,46.70684,27.5315,77.84005,682.6427,Fixation
1,1,1163806443,4.06332,158.43678,47.02448,-33.25922,72.25076,686.14941,10.3042,157.65453,46.7398,27.51512,77.85329,682.70886,Fixation
1,1,1163806459,5.41952,159.43669,47.38845,-33.29326,72.22112,685.93658,7.43221,156.95746,46.48606,27.49781,77.85417,682.74921,Fixation
1,1,1163806476,9.25903,158.86285,47.17957,-33.35685,72.20363,685.91736,8.33533,157.01038,46.50535,27.44851,77.81933,682.49432,Fixation
1,1,1163806493,7.53245,156.6993,46.39212,-33.41656,72.2262,686.21216,9.80238,158.01985,46.87275,27.38754,77.78541,682.30615,Fixation
1,1,1163806509,4.93411,153.93526,45.3861,-33.43187,72.21326,686.19666,10.30015,158.41928,47.01816,27.32016,77.77674,682.36316,Fixation
1,1,1163806526,2.76443,157.67911,46.74872,-33.45868,72.15858,686.12561,12.94364,156.36794,46.27152,27.28719,77.79567,682.58594,Fixation
1,1,1163806543,4.92399,156.03676,46.15094,-33.50607,72.10384,686.2384,8.20908,152.30804,44.79384,27.27069,77.80181,682.74207,Fixation
