device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_validity,system_time_now,left_eye_openness_value,right_eye_openness_value
5468844940,628376989991,"(0.5557535290718079, 0.5224496722221375)","(30.94318199157715, 148.21295166015625, 43.30333709716797)",1,3.4896087646484375,1,"(-5.729244232177734, 56.55363845825195, 655.393310546875)",1,"(0.5748036503791809, 0.554753839969635)","(41.5160026550293, 138.7362060546875, 39.854095458984375)",1,3.358917236328125,1,"(55.02522659301758, 55.82276916503906, 656.0345458984375)",1,1742470167399,11.975616455078125,11.048568725585938
5468861607,628377006651,"(0.5486912727355957, 0.5260722041130066)","(27.023622512817383, 147.1502685546875, 42.91654968261719)",1,3.5026702880859375,1,"(-5.808042526245117, 56.553314208984375, 655.0595703125)",1,"(0.5731884241104126, 0.5518526434898376)","(40.61955261230469, 139.5872802734375, 40.163856506347656)",1,3.3641204833984375,1,"(54.97341537475586, 55.90005874633789, 656.3590698242188)",1,1742470167415,11.379257202148438,11.125503540039062
5468878274,628377023311,"(0.5563687682151794, 0.5327771306037903)","(31.28464698791504, 145.1833038330078, 42.20063781738281)",1,3.5357666015625,1,"(-5.9209184646606445, 56.55827331542969, 655.388671875)",1,"(0.5783491730690002, 0.556391179561615)","(43.4837760925293, 138.25587463378906, 39.67924118041992)",1,3.3955841064453125,1,"(54.860557556152344, 55.85316848754883, 656.0147094726562)",1,1742470167432,11.472137451171875,11.163726806640625
5468894940,628377039977,"(0.550338089466095, 0.5454238057136536)","(27.9376220703125, 141.47328186035156, 40.85028839111328)",1,3.522674560546875,1,"(-5.962925434112549, 56.532012939453125, 655.4228515625)",1,"(0.5768988132476807, 0.5474265217781067)","(42.67881774902344, 140.8857421875, 40.63644790649414)",1,3.3382568359375,1,"(54.818206787109375, 55.801429748535156, 656.0701904296875)",1,1742470167449,11.831787109375,11.084701538085938
5468911607,628377056644,"(0.5509272813796997, 0.5378439426422119)","(28.264625549316406, 143.69691467285156, 41.659629821777344)",1,3.5084381103515625,1,"(-6.031451225280762, 56.3721923828125, 655.2207641601562)",1,"(0.5700134634971619, 0.5576520562171936)","(38.85744094848633, 137.88595581054688, 39.54464340209961)",1,3.3741302490234375,1,"(54.787681579589844, 55.69345474243164, 656.2089233398438)",1,1742470167465,11.8282470703125,10.970169067382812
5468928274,628377073312,"(0.5582616329193115, 0.5342101454734802)","(32.335166931152344, 144.7628936767578, 42.04766845703125)",1,3.5029754638671875,1,"(-6.130155563354492, 56.27396774291992, 655.2423095703125)",1,"(0.5713021159172058, 0.5555081963539124)","(39.57265853881836, 138.51490783691406, 39.77352523803711)",1,3.3594818115234375,1,"(54.72688674926758, 55.58616256713867, 656.2067260742188)",1,1742470167482,11.757659912109375,11.169830322265625
5468944941,628377089975,"(0.5505185127258301, 0.5211527943611145)","(28.037750244140625, 148.59341430664062, 43.44181823730469)",1,3.52056884765625,1,"(-6.18170166015625, 56.113948822021484, 655.4547119140625)",1,"(0.5718863010406494, 0.560990035533905)","(39.89686584472656, 136.90675354003906, 39.18818664550781)",1,3.40325927734375,1,"(54.61248016357422, 55.43265151977539, 655.9014892578125)",1,1742470167499,11.8006591796875,11.04534912109375
5468961608,628377106638,"(0.5514560341835022, 0.5423466563224792)","(28.558082580566406, 142.3759765625, 41.17885971069336)",1,3.5334320068359375,1,"(-6.280166149139404, 56.01459884643555, 655.14501953125)",1,"(0.5682107210159302, 0.5617790818214417)","(37.85691833496094, 136.67527770996094, 39.10395431518555)",1,3.40020751953125,1,"(54.5699348449707, 55.368896484375, 656.0889892578125)",1,1742470167517,11.623870849609375,11.223861694335938
5468978274,628377123300,"(0.5532512068748474, 0.5218883156776428)","(29.55439567565918, 148.3776397705078, 43.36327362060547)",1,3.52545166015625,1,"(-6.39747428894043, 55.923858642578125, 655.414794921875)",1,"(0.5731949806213379, 0.5501395463943481)","(40.623191833496094, 140.08987426757812, 40.34674072265625)",1,3.34747314453125,1,"(54.43585968017578, 55.31708526611328, 656.052001953125)",1,1742470167532,11.650985717773438,11.1234130859375
5468994941,628377139963,"(0.5556607842445374, 0.5310834646224976)","(30.891695022583008, 145.68016052246094, 42.38149642944336)",1,3.50830078125,1,"(-6.544163703918457, 55.880130767822266, 655.1622924804688)",1,"(0.5652133822441101, 0.5552892088890076)","(36.193397521972656, 138.5791473388672, 39.796905517578125)",1,3.3768310546875,1,"(54.3483772277832, 55.32598876953125, 656.1383666992188)",1,1742470167550,11.89654541015625,11.160797119140625
